participant,condition,learningtype,item,itemgroup,verbtype,known,input,testmoment,bin_score,frequency,cognate,vowellength,vowelchange,structure,syllables,verbclass,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount
pp01,IMP,incidental,lassen,CRIT_A,critical,PASS,yes,T1,0,5577,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,saufen,CRIT_A,critical,PASS,yes,T1,1,15,yes,diphtong,au-aeu,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,schlafen,CRIT_A,critical,ACT,yes,T1,1,399,yes,long,a-ae,ITR,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,stehlen,CRIT_A,critical,ACT,yes,T1,0,144,yes,long,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,tragen,CRIT_A,critical,ACT,yes,T1,1,1984,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,treffen,CRIT_A,critical,PASS,yes,T1,0,1523,yes,short,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,treten,CRIT_A,critical,PASS,yes,T1,0,1686,yes,long,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,vergessen,CRIT_A,critical,ACT,yes,T1,0,837,yes,short,e-i,S-V-OA-PP,3,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,wachsen,CRIT_A,critical,ACT,yes,T1,0,531,no,short,a-ae,ITR,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,werfen,CRIT_A,critical,ACT,yes,T1,0,902,yes,short,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,blasen,CRIT_B,critical,PASS,no,T1,1,85,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,braten,CRIT_B,critical,ACT,no,T1,0,13,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,brechen,CRIT_B,critical,PASS,no,T1,0,361,yes,short,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,empfehlen,CRIT_B,critical,ACT,no,T1,0,382,doubt,long,e-i,S-V-OA-PP,3,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,essen,CRIT_B,critical,ACT,no,T1,1,400,yes,short,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,fallen,CRIT_B,critical,ACT,no,T1,0,1668,yes,short,a-ae,ITR,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,halten,CRIT_B,critical,ACT,no,T1,0,3971,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,laufen,CRIT_B,critical,ACT,no,T1,0,1290,yes,diphtong,au-aeu,ITR,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,lesen,CRIT_B,critical,ACT,no,T1,1,944,yes,long,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,messen,CRIT_B,critical,NT,no,T1,0,294,yes,short,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,schlagen,CRIT_B,critical,ACT,no,T1,1,1331,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
